Paper Title,Year,Full Paper or WIP?,Session Name,"Context: MOOCs, In-person degrees, Online degrees, K-12, Informal learning environments, Other (specify in 1-2 words in Context Notes)",Context Notes,"Subject: CS, Non-CS STEM, Non-STEM (specify in 1-2 words in Subject Notes), Unspecified",Subject Notes,"AI/ML Applications in Education? (Enter ""Y"" or ""N"")",Similarity Score,Matched Title
Exploring the Effect of Confusion in Discussion Forums of Massive Open Online Courses,2015,Full Paper,Learning,,,,,,91,Exploring the effect of confusion in discussion forums of massive open online courses
Uncovering Trajectories of Informal Learning in Large Online Communities of Creators,2015,Full Paper,Learning,,,,,,92,Uncovering trajectories of informal learning in large online communities of creators
Probabilistic Use Cases: Discovering Behavioral Patterns for Predicting Certification,2015,Full Paper,Learning,,,,,,93,Probabilistic use cases: Discovering behavioral patterns for predicting certification
Bayesian Ordinal Peer Grading,2015,Full Paper,Grading,,,,,,90,Bayesian ordinal peer grading
An Automated Grading/Feedback System for 3-View Engineering Drawings using RANSAC,2015,Full Paper,Grading,,,,,,91,An automated grading/feedback system for 3-view engineering drawings using RANSAC
Mathematical Language Processing: Automatic Grading and Feedback for Open Response Mathematical Questions,2015,Full Paper,Grading,,,,,,92,Mathematical language processing: Automatic grading and feedback for open response mathematical questions
BayesRank: A Bayesian Approach to Ranked Peer Grading,2015,Full Paper,Grading,,,,,,91,BayesRank: A bayesian approach to ranked peer grading
Staggered Versus All-At-Once Content Release in Massive Open Online Courses: Evaluating a Natural Experiment,2015,Full Paper,Design,,,,,,89,Staggered versus all-at-once content release in massive open online courses: Evaluating a natural experiment
Autonomously Generating Hints by Inferring Problem Solving Policies,2015,Full Paper,Design,,,,,,91,Autonomously generating hints by inferring problem solving policies
Problems Before Solutions: Automated Problem Clarification at Scale,2015,Full Paper,Design,,,,,,93,Problems before solutions: Automated problem clarification at scale
A Modern Student Experience inSystems Programming,2015,WIP,,,,,,,89,A modern student experience in systems programming
Adding Third-Party Authentication to Open edX: A Case Study,2015,WIP,,,,,,,90,Adding third-party authentication to open edX: A case study
All It Takes Is One: Evidence for a Strategy for Seeding Large Scale Peer Learning Interactions,2015,WIP,,,,,,,88,All it takes is one: Evidence for a strategy for seeding large scale peer learning interactions
An E-Report Scoring Method based on Student Peer Evaluation using Groupware,2015,WIP,,,,,,,91,An E-report scoring method based on student peer evaluation using groupware
Analysis of a Large-Scale Formative Writing Assessment System with Automated Feedback,2015,WIP,,,,,,,91,Analysis of a large-scale formative writing assessment system with automated feedback
Are You Listening?: Social Roles and Perceived Value of Statements in Online Learning Communities,2015,WIP,,,,,,,90,Are you listening? Social roles and perceived value of statements in online learning communities
Assessment of KNOWLA: Knowledge Assembly for Learning and Assessment,2015,WIP,,,,,,,96,Assessment of KNOWLA: Knowledge assembly for learning and assessment
AutoStyle: Toward Coding Style Feedback at Scale,2015,WIP,,,,,,,92,AutoStyle: Toward coding style feedback at scale
Behavior Prediction in MOOCs using Higher Granularity Temporal Information,2015,WIP,,,,,,,93,Behavior prediction in MOOCs using higher granularity temporal information
Clustering Student Programming Assignments to Multiply Instructor Leverage,2015,WIP,,,,,,,92,Clustering student programming assignments to multiply instructor leverage
Clustering-Based Active Learning for CPSGrader,2015,WIP,,,,,,,93,Clustering-based active learning for CPSGrader
Connecting Stories and Pedagogy Increases Participant Engagement in Discussions,2015,WIP,,,,,,,92,Connecting stories and pedagogy increases participant engagement in discussions
Connecting the Dots: Predicting Student Grade Sequences from Bursty MOOC Interactions over Time,2015,WIP,,,,,,,93,Connecting the dots: Predicting student grade sequences from bursty MOOC interactions over time
Cultural Relevance in MOOCs: Asking About Socioeconomic Context,2015,WIP,,,,,,,94,Cultural relevance in MOOCs: Asking about socioeconomic context
Demographic Differences in a Growth Mindset Incentive Structure for Educational Games,2015,WIP,,,,,,,92,Demographic differences in a growth mindset incentive structure for educational games
Designing MOOCs as Interactive Places for Collaborative Learning,2015,WIP,,,,,,,94,Designing MOOCs as interactive places for collaborative learning
Do Numeric Ratings Impact Peer Reviewers?  359-362,2015,WIP,,,,,,,79,Do numeric ratings impact peer reviewers?
Does Online Q&A Activity Vary Based on Topic: A Comparison of Technical and Non-technical Stack Exchange Forums,2015,WIP,,,,,,,90,Does online Q&A activity vary based on topic: A comparison of technical and non-technical stack exchange forums
"Educational Evaluation in the PKU SPOC Course ""Data Structures and Algorithms""",2015,WIP,,,,,,,94,"Educational evaluation in the PKU SPOC course ""data structures and algorithms"""
"Evaluating the Relationship Between Course Structure, Learner Activity, and Perceived Value of Online Courses",2015,WIP,,,,,,,91,"Evaluating the relationship between course structure, learner activity, and perceived value of online courses"
Exploring Collaborative Storytelling as a Method for Creating Educational Games,2015,WIP,,,,,,,92,Exploring collaborative storytelling as a method for creating educational games
Feature Factory: Crowd Sourced Feature Discovery,2015,WIP,,,,,,,90,Feature factory: Crowd-sourced feature discovery
Game Theory based Peer Grading Mechanisms for MOOCs,2015,WIP,,,,,,,92,Game theory based peer grading mechanisms for MOOCs
Identifying Content-Related Threads in MOOC Discussion Forums,2015,WIP,,,,,,,92,Identifying content-related threads in MOOC discussion forums
Item Ordering Effects with Qualitative Explanations using Online Adaptive Tutoring Data,2015,WIP,,,,,,,91,Item ordering effects with qualitative explanations using online adaptive tutoring data
Learn With Friends: The Effects of Student Face-to-Face Collaborations on Massive Open Online Course Activities,2015,WIP,,,,,,,89,Learn with friends: The effects of student face-to-face collaborations on massive open online course activities
Learner-Sourcing in an Engineering Class at Scale,2015,WIP,,,,,,,92,Learner-sourcing in an engineering class at scale
Learnersourcing of Complex Assessments,2015,WIP,,,,,,,95,Learnersourcing of complex assessments
Learning Experiments Using AB Testing at Scale,2015,WIP,,,,,,,91,Learning experiments using AB testing at scale
Learning the Features Used To Decide How to Teach,2015,WIP,,,,,,,88,Learning the features used to decide how to teach
M-CAFE: Managing MOOC Student Feedback with Collaborative Filtering,2015,WIP,,,,,,,94,M-CAFE: Managing MOOC student feedback with collaborative filtering
Measuring and Maximizing the Effectiveness of Honor Codes in Online Courses,2015,WIP,,,,,,,92,Measuring and maximizing the effectiveness of honor codes in online courses
"Peers in MOOCs: Lessons Based on the Education Production Function, Collective Action, and an Experiment",2015,WIP,,,,,,,93,"Peers in MOOCs: Lessons based on the education production function, collective action, and an experiment"
Practical Measures of Learning Behaviors,2015,WIP,,,,,,,92,Practical measures of learning behaviors
Source Effects in Online Education,2015,WIP,,,,,,,91,Source effects in online education
Supporting Face-to-Face Like Communication Modalities for Asynchronous Assignment Feedback in Math Education,2015,WIP,,,,,,,91,Supporting face-to-face like communication modalities for asynchronous assignment feedback in math education
Supporting Instructors in Collaborating with Researchers using MOOClets,2015,WIP,,,,,,,96,Supporting instructors in collaborating with researchers using MOOClets
TELLab: An Experiential Learning Tool for Psychology,2015,WIP,,,,,,,92,TELLab: An experiential learning tool for psychology
Technology-Enhanced Learning: Evidence-based Improvement,2015,WIP,,,,,,,95,Technology-enhanced learning: Evidence-based improvement
The Visible and Invisible in a MOOC Discussion Forum,2015,WIP,,,,,,,92,The visible and invisible in a MOOC discussion forum
Toward the Evaluation of Educational Videos using Bayesian Knowledge Tracing and Big Data,2015,WIP,,,,,,,91,Toward the evaluation of educational videos using bayesian knowledge tracing and big data
Towards Capturing Learners Sentiment and Context,2015,WIP,,,,,,,92,Towards capturing learners sentiment and context
Understanding Learners' General Perception Towards Learning with MOOC Classmates: An Exploratory Study,2015,WIP,,,,,,,92,Understanding learners' general perception towards learning with MOOC classmates: An exploratory study
Using and Designing Platforms for In Vivo Educational Experiments,2015,WIP,,,,,,,91,Using and designing platforms for in vivo educational experiments
Viz-R: Using Recency to Improve Student and Domain Models,2015,WIP,,,,,,,91,Viz-R: Using recency to improve student and domain models
Who You Are or What You Do: Comparing the Predictive Power of Demographics vs,2015,WIP,,,,,,,65,Who you are or what you do: Comparing the predictive power of demographics vs. activity patterns in massive open online courses (MOOCs)
Automatic Interpretable Personalized Learning,2022,Full Paper,Recommendation and Personalization @ Scale,,,,,,100,Automatic Interpretable Personalized Learning
Heterogeneity of Treatment Effects of a Video Recommendation System for Algebra,2022,Full Paper,Recommendation and Personalization @ Scale,,,,,,100,Heterogeneity of Treatment Effects of a Video Recommendation System for Algebra
Post Recommendation System Impact on Student Participation and Performance in an Online AI Graduate Course,2022,Full Paper,Recommendation and Personalization @ Scale,,,,,,100,Post Recommendation System Impact on Student Participation and Performance in an Online AI Graduate Course
"A Scenario-based Exploration of Expected Usefulness, Privacy Concerns, and Adoption Likelihood of Learning Analytics",2022,Full Paper,Analytics @ Scale,,,,,,100,"A Scenario-based Exploration of Expected Usefulness, Privacy Concerns, and Adoption Likelihood of Learning Analytics"
"Incorporating Training, Self-monitoring and AI-Assistance to Improve Peer Feedback Quality",2022,Full Paper,Analytics @ Scale,,,,,,100,"Incorporating Training, Self-monitoring and AI-Assistance to Improve Peer Feedback Quality"
RLens: A Computer-aided Visualization System for Supporting Reflection on Language Learning under Distributed Tutorship,2022,Full Paper,Analytics @ Scale,,,,,,100,RLens: A Computer-aided Visualization System for Supporting Reflection on Language Learning under Distributed Tutorship
Digital Education For All: Multi-University Study of Increasing Competent Student Admissions at Scale,2022,Full Paper,Academics @ Scale,,,,,,100,Digital Education For All: Multi-University Study of Increasing Competent Student Admissions at Scale
"Meet Me in the Middle: Retention in a ""MOOC-Based"" Degree Program",2022,Full Paper,Academics @ Scale,,,,,,100,"Meet Me in the Middle: Retention in a ""MOOC-Based"" Degree Program"
Function Names: Quantifying the Relationship Between Identifiers and Their Functionality to Improve Them,2022,Full Paper,CS Education @ Scale,,,,,,100,Function Names: Quantifying the Relationship Between Identifiers and Their Functionality to Improve Them
LEGenT: Localizing Errors and Generating Testcases for CS1,2022,Full Paper,CS Education @ Scale,,,,,,100,LEGenT: Localizing Errors and Generating Testcases for CS1
Using NLP to Quantify Program Decomposition in CS1,2022,Full Paper,CS Education @ Scale,,,,,,100,Using NLP to Quantify Program Decomposition in CS1
Large-Scale Student Data Reveal Sociodemographic Gaps in Procrastination Behavior,2022,Full Paper,Studies @ Scale,,,,,,100,Large-Scale Student Data Reveal Sociodemographic Gaps in Procrastination Behavior
Meta Transfer Learning for Early Success Prediction in MOOCs,2022,Full Paper,Studies @ Scale,,,,,,100,Meta Transfer Learning for Early Success Prediction in MOOCs
Millions and Billions of Views: Understanding Popular Science and Knowledge Communication on Video-Sharing Platforms,2022,Full Paper,Video Use @ Scale,,,,,,100,Millions and Billions of Views: Understanding Popular Science and Knowledge Communication on Video-Sharing Platforms
Picturing One's Self: Camera Use in Zoom Classes during the COVID-19 Pandemic,2022,Full Paper,Video Use @ Scale,,,,,,100,Picturing One's Self: Camera Use in Zoom Classes during the COVID-19 Pandemic
Using the YouTube Video Style in a MOOC: (Re-)Testing the Effect of Visual Experience in a Field-Experiment,2022,Full Paper,Video Use @ Scale,,,,,,100,Using the YouTube Video Style in a MOOC: (Re-)Testing the Effect of Visual Experience in a Field-Experiment
"Designing and Building Inclusive, Entry-level Massive Open Online Courses (MOOCs): Perspectives from Producers",2022,Full Paper,Instructional Design @ Scale,,,,,,100,"Designing and Building Inclusive, Entry-level Massive Open Online Courses (MOOCs): Perspectives from Producers"
When Gamification Spoils Your Learning: A Qualitative Case Study of Gamification Misuse in a Language-Learning App,2022,Full Paper,Instructional Design @ Scale,,,,,,100,When Gamification Spoils Your Learning: A Qualitative Case Study of Gamification Misuse in a Language-Learning App
Digital Clinical Simulation Suite: Specifications and Architecture for Simulation-Based Pedagogy at Scale,2022,Full Paper,Simulations and Games @ Scale,,,,,,100,Digital Clinical Simulation Suite: Specifications and Architecture for Simulation-Based Pedagogy at Scale
The Challenges of Evolving Technical Courses at Scale: Four Case Studies of Updating Large Data Science Courses,2022,Full Paper,Simulations and Games @ Scale,,,,,,100,The Challenges of Evolving Technical Courses at Scale: Four Case Studies of Updating Large Data Science Courses
Learnersourcing in Theory and Practice: Synthesizing the Literature and Charting the Future,2022,Full Paper,Students @ Scale,,,,,,100,Learnersourcing in Theory and Practice: Synthesizing the Literature and Charting the Future
Pathways: Exploring Academic Interests with Historical Course Enrollment Records,2022,Full Paper,Students @ Scale,,,,,,100,Pathways: Exploring Academic Interests with Historical Course Enrollment Records
$1 Conversational Turn Detector: Measuring How Video Conversations Affect Student Learning in Online Classes,2016,Full Paper,Learner Modelling,,,,,,90,$1 conversational turn detector: Measuring how video conversations affect student learning in online classes
A Constructionist Toolkit for Learning Elementary Web Development at Scale,2016,WIP,Work in Progress,,,,,,91,A constructionist toolkit for learning elementary web development at scale
A Data-Driven Approach for Inferring Student Proficiency from Game Activity Logs,2016,Full Paper,Automated Assessment,,,,,,89,A data-driven approach for inferring student proficiency from game activity logs
A Framework for Topic Generation and Labeling from MOOC Discussions,2016,WIP,Work in Progress,,,,,,93,A framework for topic generation and labeling from MOOC discussions
"A Preliminary Look at MOOC-associated Facebook Groups: Prevalence, Geographic Representation, and Homophily",2016,WIP,Work in Progress,,,,,,94,"A preliminary look at MOOC-associated Facebook groups: Prevalence, geographic representation, and homophily"
A Queueing Network Model for Spaced Repetition,2016,WIP,Work in Progress,,,,,,89,A queueing network model for spaced repetition
A Scalable Learning Analytics Platform for Automated Writing Feedback,2016,WIP,Work in Progress,,,,,,90,A scalable learning analytics platform for automated writing feedback
ASSISTments Dataset from Multiple Randomized Controlled Experiments,2016,WIP,Work in Progress,,,,,,91,ASSIStments dataset from multiple randomized controlled experiments
AXIS: Generating Explanations at Scale with Learnersourcing and Machine Learning,2016,Full Paper,Flipped Session - Crowdsourcing the Feedback,,,,,,94,AXIS: Generating explanations at scale with learnersourcing and machine learning
An Exploration of Automated Grading of Complex Assignments,2016,Full Paper,Automated Assessment,,,,,,91,An exploration of automated grading of complex assignments
An Investigation of the Effects of Online Test Strategy on Students' Learning Behaviors,2016,WIP,Work in Progress,,,,,,91,An investigation of the effects of online test strategy on students' learning behaviors
Assessing Problem-Solving Process At Scale,2016,WIP,Work in Progress,,,,,,88,Assessing problem-solving process at scale
Automatically Learning to Teach to the Learning Objectives,2016,WIP,Work in Progress,,,,,,93,Automatically learning to teach to the learning objectives
Beetle-Grow: An Effective Intelligent Tutoring System for Data Collection,2016,WIP,Work in Progress,,,,,,90,Beetle-grow: An effective intelligent tutoring system for data collection
Beyond Traditional Metrics: Using Automated Log Coding to Understand 21st Century Learning Online,2016,WIP,Work in Progress,,,,,,91,Beyond traditional metrics: Using automated log coding to understand 21st century learning online
Brain Points: A Deeper Look at a Growth Mindset Incentive Structure for an Educational Game,2016,Full Paper,Engagement,,,,,,90,Brain points: A deeper look at a growth mindset incentive structure for an educational game
Bringing Non-programmer Authoring of Intelligent Tutors to MOOCs,2016,WIP,Work in Progress,,,,,,94,Bringing non-programmer authoring of intelligent tutors to MOOCs
Browser Language Preferences as a Metric for Identifying ESL Speakers in MOOCs,2016,WIP,Work in Progress,,,,,,94,Browser language preferences as a metric for identifying ESL speakers in MOOCs
"Challenge and Potential of Fine Grain, Cross-Institutional Learning Data",2016,WIP,Work in Progress,,,,,,90,"Challenge and potential of fine grain, cross-institutional learning data"
Course Builder Skill Maps,2016,WIP,Work in Progress,,,,,,92,Course Builder skill maps
Deep Neural Networks and How They Apply to Sequential Education Data,2016,WIP,Work in Progress,,,,,,88,Deep neural networks and how they apply to sequential education data
Designing Videos with Pedagogical Strategies: Online Students' Perceptions of Their Effectiveness,2016,WIP,Work in Progress,,,,,,93,Designing videos with pedagogical strategies: Online students' perceptions of their effectiveness
Designing for Open Learning: Design Principles and Scalability Affordances in Practice,2016,WIP,Work in Progress,,,,,,93,Designing for open learning: Design principles and scalability affordances in practice
Effects of In-Video Quizzes on MOOC Lecture Viewing,2016,Full Paper,Engagement,,,,,,90,Effects of in-video quizzes on MOOC lecture viewing
Elice: An online CS Education Platform to Understand How Students Learn Programming,2016,WIP,Work in Progress,,,,,,92,Elice: An online CS education platform to understand how students learn programming
Enabling Schema Agnostic Learning Analytics in a Service-Oriented MOOC Platform,2016,WIP,Work in Progress,,,,,,91,Enabling schema agnostic learning analytics in a service-oriented MOOC platform
Evaluating the 'Student' Experience in MOOCs,2016,WIP,Work in Progress,,,,,,95,Evaluating the 'student' experience in MOOCs
Expert Evaluation of 300 Projects per Day,2016,WIP,Work in Progress,,,,,,93,Expert evaluation of 300 projects per day
Explaining Student Behavior at Scale: The Influence of Video Complexity on Student Dwelling Time,2016,Full Paper,Engagement,,,,,,91,Explaining student behavior at scale: The influence of video complexity on student dwelling time
Exploring the Effects of Lightweight Social Incentives on Learner Performance in MOOCs,2016,WIP,Work in Progress,,,,,,93,Exploring the effects of lightweight social incentives on learner performance in MOOCs
Fuzz Testing Projects in Massive Courses,2016,Full Paper,Automated Assessment,,,,,,90,Fuzz testing projects in massive courses
Graders as Meta-Reviewers: Simultaneously Scaling and Improving Expert Evaluation for Large Online Classrooms,2016,Full Paper,Flipped Session - Crowdsourcing the Feedback,,,,,,92,Graders as meta-reviewers: Simultaneously scaling and improving expert evaluation for large online classrooms
How Mastery Learning Works at Scale,2016,Full Paper,Learner Modelling,,,,,,89,How mastery learning works at scale
Identifying Student Misunderstandings using Constructed Responses,2016,WIP,Work in Progress,,,,,,94,Identifying student misunderstandings using constructed responses
Illusion of Progress is Moar Addictive than Cat Pictures,2016,WIP,Work in Progress,,,,,,91,Illusion of progress is moar addictive than cat pictures
Improving the Peer Assessment Experience on MOOC Platforms,2016,Full Paper,Flipped Session - Crowdsourcing the Feedback,,,,,,93,Improving the peer assessment experience on MOOC platforms
Investigating the Use of Hints in Online Problem Solving,2016,WIP,Work in Progress,,,,,,91,Investigating the use of hints in online problem solving
LINK-REPORT: Outcome Analysis of Informal Learning at Scale,2016,WIP,Work in Progress,,,,,,93,LINK-REPORT: Outcome analysis of informal learning at scale
Learning Student and Content Embeddings for Personalized Lesson Sequence Recommendation,2016,WIP,Work in Progress,,,,,,93,Learning Student and content embeddings for personalized lesson sequence recommendation
Learning Transfer: Does It Take Place in MOOCs? An Investigation into the Uptake of Functional Programming in Practice,2016,Full Paper,Flipped Session - Outside the MOOC,,,,,,89,Learning transfer: Does it take place in moocs? An investigation into the uptake of functional programming in practice
Learning about Teaching in Low-Resource Indian Contexts,2016,WIP,Work in Progress,,,,,,93,Learning about teaching in low-resource Indian contexts
Learning at Scale: Using an Evidence Hub To Make Sense of What We Know,2016,WIP,Work in Progress,,,,,,90,Learning at scale: Using an Evidence Hub to make sense of what we know
Macro Data for Micro Learning: Developing the FUN! Tool for Automated Assessment of Learning,2016,WIP,Work in Progress,,,,,,93,Macro data for micro learning: Developing the FUN! Tool for automated assessment of learning
Making the Production of Learning at Scale More Open and Flexible,2016,WIP,Work in Progress,,,,,,91,Making the production of learning at scale more open and flexible
Metaphors for Learning and MOOC Pedagogies,2016,WIP,Work in Progress,,,,,,93,Metaphors for learning & MOOC Pedagogies
Mobile Devices for Early Literacy Intervention and Research with Global Reach,2016,Full Paper,Global Village,,,,,,91,Mobile devices for early literacy intervention and research with global reach
Modeling Student Scheduling Preferences in a Computer-Based Testing Facility,2016,WIP,Work in Progress,,,,,,91,Modeling student scheduling preferences in a computer-based testing facility
Observing URL Sharing Behaviour in Massive Online Open Courses,2016,WIP,Work in Progress,,,,,,97,Observing URL sharing behaviour in Massive Online Open Courses
Online Urbanism: Interest-based Subcultures as Drivers of Informal Learning in an Online Community,2016,Full Paper,Global Village,,,,,,93,Online urbanism: Interest-based subcultures as drivers of informal learning in an online community
Open-DLAs: An Open Dashboard for Learning Analytics,2016,WIP,Work in Progress,,,,,,92,Open-DLAs: An open dashboard for learning analytics
Optimally Discriminative Choice Sets in Discrete Choice Models: Application to Data-Driven Test Design,2016,WIP,Work in Progress,,,,,,90,Optimally discriminative choice sets in discrete choice models: Application to data-driven test design
Optimizing the Amount of Practice in an On-Line Platform,2016,WIP,Work in Progress,,,,,,84,Optimizing the amount of practice in an on-line learning platform
PEER Support In MOOCs: The Role Of Social Presence,2016,WIP,Work in Progress,,,,,,88,PEER support in MOOCs: The role of social presence
Peer Grading in a Course on Algorithms and Data Structures: Machine Learning Algorithms do not Improve over Simple Baselines,2016,Full Paper,Automated Assessment,,,,,,92,Peer grading in a course on algorithms and data structures: Machine learning algorithms do not improve over simple baselines
Peer Reviewing Short Answers using Comparative Judgement,2016,WIP,Work in Progress,,,,,,91,Peer reviewing short answers using comparative judgement
Personalized Adaptive Learning using Neural Networks,2016,WIP,Work in Progress,,,,,,92,Personalized adaptive learning using neural networks
Predicting Student Learning using Log Data from Interactive Simulations on Climate Change,2016,WIP,Work in Progress,,,,,,91,Predicting student learning using log data from interactive simulations on climate change
Predicting Students' Performance: Incremental Interaction Classifiers,2016,WIP,Work in Progress,,,,,,94,Predicting students' performance: Incremental interaction classifiers
Predicting Students' Standardized Test Scores Using Online Homework,2016,WIP,Work in Progress,,,,,,90,Predicting students' standardized test scores using online homework
Profiling MOOC Course Returners: How Does Student Behavior Change Between Two Course Enrollments?  269-272,2016,WIP,Work in Progress,,,,,,86,Profiling MOOC course returners: How does student behavior change between two course enrollments?
Promoting Student Engagement in MOOCs,2016,WIP,Work in Progress,,,,,,95,Promoting student engagement in MOOCs
Recommending Self-Regulated Learning Strategies Does Not Improve Performance in a MOOC,2016,WIP,Work in Progress,,,,,,91,Recommending self-regulated learning strategies does not improve performance in a MOOC
Scaling up Online Question Answering via Similar Question Retrieval,2016,WIP,Work in Progress,,,,,,91,Scaling up online question answering via similar question retrieval
Structured Knowledge Tracing Models for Student Assessment on Coursera,2016,WIP,Work in Progress,,,,,,93,Structured knowledge tracing models for student assessment on Coursera
Supporting Peer Instruction with Evidence-Based Online Instructional Templates,2016,WIP,Work in Progress,,,,,,91,Supporting peer instruction with evidence-based online instructional templates
Supporting Scalable Data Sharing in Online Education,2016,WIP,Work in Progress,,,,,,90,Supporting scalable data sharing in online education
TAPS: A MOSS Extension for Detecting Software Plagiarism at Scale,2016,WIP,Work in Progress,,,,,,92,TAPS: A MOSS extension for detecting software plagiarism at scale
The Civic Mission of MOOCs: Measuring Engagement across Political Differences in Forums,2016,Full Paper,Global Village,,,,,,93,The civic mission of MOOCs: Measuring engagement across political differences in forums
The Distributed Esteemed Endorser Review: A Novel Approach to Participant Assessment in MOOCs,2016,WIP,Work in Progress,,,,,,96,The Distributed Esteemed Endorser Review: A novel approach to participant assessment in MOOCs
The Opportunity Count Model: A Flexible Approach to Modeling Student Performance,2016,WIP,Work in Progress,,,,,,90,The opportunity count model: A flexible approach to modeling student performance
The Role of Social Media in MOOCs: How to Use Social Media to Enhance Student Retention,2016,Full Paper,Flipped Session - Outside the MOOC,,,,,,90,The role of social media in MOOCs: How to use social media to enhance student retention
The Unexpected Pedagogical Benefits of Making Higher Education Accessible,2016,WIP,Work in Progress,,,,,,90,The unexpected pedagogical benefits of making higher education accessible
Towards Cross-domain MOOC Forum Post Classification,2016,WIP,Work in Progress,,,,,,92,Towards cross-domain MOOC forum post classification
Understanding ESL Students' Motivations to Increase MOOC Accessibility,2016,WIP,Work in Progress,,,,,,94,Understanding ESL students' motivations to increase MOOC accessibility
Using Android Wear for Avoiding Procrastination Behaviours in MOOCs,2016,WIP,Work in Progress,,,,,,96,Using Android Wear for avoiding procrastination behaviours in MOOCs
Using Multiple Accounts for Harvesting Solutions in MOOCs,2016,Full Paper,Learner Modelling,,,,,,93,Using multiple accounts for harvesting solutions in MOOCs
