,First Author First Name,First Author Last Name,Paper Title,Year,Full Paper or WIP?,Session Name,Authors,Link_x,File Name,DOI,Original File Name,Author(s) ID,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link_y,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 1 Affiliation,Author 1 Country,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
10,Tzu-Chi,Yang,An Investigation of the Effects of Online Test Strategy on Students' Learning Behaviors,2016,WIP,Work in Progress,"Tzu-Chi Yang, Dai Ling Shih, Meng Chang Chen",https://dl.acm.org/doi/pdf/10.1145/2876034.2893434,2016_An Investigation of the Effects of Online Test Strategy on Students' Learning Behaviors.pdf,10.1145/2876034.2893434,2876034.2893434.pdf,24722315700; 57189389107; 7406355852,An investigation of the effects of online test strategy on students' learning behaviors,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,281,284,3.0,2.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970016197&doi=10.1145%2f2876034.2893434&partnerID=40&md5=6bc38c6ffdece2600fc7e4ac39f0ae0e,Conference paper,Final,,Scopus,2-s2.0-84970016197,Tzu Chi,Yang,24722315700,Dai Ling,Shih,57189389107,Meng Chang,Chen,7406355852,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Yang Ming Chiao Tung University,Taiwan,National Taiwan University,Taiwan,"Academia Sinica, Institute of Information Science",Taiwan,,,,,,,,,,,,,,,,,,
11,Shuchi,Grover,Assessing Problem-Solving Process At Scale,2016,WIP,Work in Progress,"Shuchi Grover, Marie A. Bienkowski, John Niekrasz, Matthias Hauswirth",https://dl.acm.org/doi/pdf/10.1145/2876034.2893425,2016_Assessing Problem-Solving Process At Scale.pdf,10.1145/2876034.2893425,2876034.2893425.pdf,55606048500; 7004574232; 8260932800; 6701681841,Assessing problem-solving process at scale,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,245,248,3.0,10.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969961777&doi=10.1145%2f2876034.2893425&partnerID=40&md5=759363801e6872793f091ab85a482edc,Conference paper,Final,,Scopus,2-s2.0-84969961777,Shuchi,Grover,55606048500,Marie,Bienkowski,7004574232,John,Niekrasz,8260932800,Matthias,Hauswirth,6701681841,,,,,,,,,,,,,,,,,,,,,,,,,Looking Glass Ventures,,Academies of Math and Science,United States,SRI International,United States,Università della Svizzera italiana,Switzerland,,,,,,,,,,,,,,,,
12,Rika,Antonova,Automatically Learning to Teach to the Learning Objectives,2016,WIP,Work in Progress,"Rika Antonova, Joe Runde, Min Hyung Lee, Emma Brunskill",https://dl.acm.org/doi/pdf/10.1145/2876034.2893443,2016_Automatically Learning to Teach to the Learning Objectives.pdf,10.1145/2876034.2893443,2876034.2893443.pdf,57189377879; 56597873400; 56597067400; 15762040900,Automatically learning to teach to the learning objectives,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,317,320,3.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969963079&doi=10.1145%2f2876034.2893443&partnerID=40&md5=771c1e9a29b3dd4fdd1c203bec344c4b,Conference paper,Final,,Scopus,2-s2.0-84969963079,Rika,Antonova,57189377879,Joe,Runde,56597873400,Min Hyung,Lee,56597067400,Emma,Brunskill,15762040900,,,,,,,,,,,,,,,,,,,,,,,,,Stanford University,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,Stanford University,United States,,,,,,,,,,,,,,,,
13,Elaine,Farrow,Beetle-Grow: An Effective Intelligent Tutoring System for Data Collection,2016,WIP,Work in Progress,"Elaine Farrow, Myroslava O. Dzikovska, Johanna D. Moore",https://dl.acm.org/doi/pdf/10.1145/2876034.2893408,2016_Beetle-Grow: An Effective Intelligent Tutoring System for Data Collection.pdf,10.1145/2876034.2893408,2876034.2893408.pdf,25640587600; 6507425997; 7405248281,Beetle-grow: An effective intelligent tutoring system for data collection,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,177,180,3.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969964140&doi=10.1145%2f2876034.2893408&partnerID=40&md5=e55542e3587875f34858bd9c3654f12f,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84969964140,Elaine,Farrow,25640587600,Myroslava O.,Dzikovska,6507425997,Johanna D.,Moore,7405248281,,,,,,,,,,,,,,,,,,,,,,,,,,,,The University of Edinburgh,United Kingdom,The University of Edinburgh,United Kingdom,The University of Edinburgh,United Kingdom,,,,,,,,,,,,,,,,,,
14,Denise C.,Nacu,Beyond Traditional Metrics: Using Automated Log Coding to Understand 21st Century Learning Online,2016,WIP,Work in Progress,"Denise C. Nacu, Caitlin Kennedy Martin, Michael Schutzenhofer, Nichole Pinkard",https://dl.acm.org/doi/pdf/10.1145/2876034.2893413,2016_Beyond Traditional Metrics: Using Automated Log Coding to Understand 21st Century Learning Online.pdf,10.1145/2876034.2893413,2876034.2893413.pdf,26036277500; 16040033600; 56244760800; 6602885272,Beyond traditional metrics: Using automated log coding to understand 21st century learning online,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,197,200,3.0,6.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969917173&doi=10.1145%2f2876034.2893413&partnerID=40&md5=6fd97e4d6d025ceb9ca04cb0717e488e,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84969917173,Denise,Nacu,26036277500,Caitlin K.,Martin,16040033600,Michael,Schutzenhofer,56244760800,Nichole,Pinkard,6602885272,,,,,,,,,,,,,,,,,,,,,,,,,DePaul University,United States,Independent Scholar,United States,DePaul University,United States,Northwestern University,United States,,,,,,,,,,,,,,,,
15,Eleanor,O'Rourke,Brain Points: A Deeper Look at a Growth Mindset Incentive Structure for an Educational Game,2016,Full Paper,Engagement,"Eleanor O'Rourke, Erin Peach, Carol S. Dweck, Zoran Popovic",https://dl.acm.org/doi/pdf/10.1145/2876034.2876040,2016_Brain Points: A Deeper Look at a Growth Mindset Incentive Structure for an Educational Game.pdf,10.1145/2876034.2876040,2876034.2876040.pdf,36447934500; 57189386236; 7004613973; 35176314800,Brain points: A deeper look at a growth mindset incentive structure for an educational game,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,41,50,9.0,25.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969983764&doi=10.1145%2f2876034.2876040&partnerID=40&md5=5443e8b6c4e8ba3dd24c49effa7a2a43,Conference paper,Final,,Scopus,2-s2.0-84969983764,Eleanor,O'Rourke,36447934500,Erin,Peach,57189386236,Carol S.,Dweck,7004613973,Zoran,Popović,35176314800,,,,,,,,,,,,,,,,,,,,,,,,,Northwestern University,United States,Code.org,United States,Stanford University,United States,University of Washington,United States,,,,,,,,,,,,,,,,
16,Vincent,Aleven,Bringing Non-programmer Authoring of Intelligent Tutors to MOOCs,2016,WIP,Work in Progress,"Vincent Aleven, Ryan S. Baker, Yuan Wang, Jonathan Sewall, Octav Popescu",https://dl.acm.org/doi/pdf/10.1145/2876034.2893442,2016_Bringing Non-programmer Authoring of Intelligent Tutors to MOOCs.pdf,10.1145/2876034.2893442,2876034.2893442.pdf,6602528401; 8967971100; 56904339000; 14049081600; 22433564900,Bringing non-programmer authoring of intelligent tutors to MOOCs,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,313,316,3.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970028954&doi=10.1145%2f2876034.2893442&partnerID=40&md5=a1aea76ce2bac5f0db107347326abbc5,Conference paper,Final,,Scopus,2-s2.0-84970028954,Vincent,Aleven,6602528401,Ryan,Baker,8967971100,Yuan,Wang,56904339000,Jonathan,Sewall,14049081600,Octav,Popescu,22433564900,,,,,,,,,,,,,,,,,,,,,,Carnegie Mellon University,United States,University of Pennsylvania,United States,Arizona State University,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,,,,,,,,,,,,,,
17,Judith,Uchidiuno,Browser Language Preferences as a Metric for Identifying ESL Speakers in MOOCs,2016,WIP,Work in Progress,"Judith Uchidiuno, Amy Ogan, Kenneth R. Koedinger, Evelyn Yarzebinski, Jessica Hammer",https://dl.acm.org/doi/pdf/10.1145/2876034.2893433,2016_Browser Language Preferences as a Metric for Identifying ESL Speakers in MOOCs.pdf,10.1145/2876034.2893433,2876034.2893433.pdf,57189377714; 40662162300; 22433477900; 56597500700; 6603678234,Browser language preferences as a metric for identifying ESL speakers in MOOCs,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,277,280,3.0,9.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970023331&doi=10.1145%2f2876034.2893433&partnerID=40&md5=234c19c756027b1401a1cd63bf618c80,Conference paper,Final,,Scopus,2-s2.0-84970023331,Judith,Uchidiuno,57189377714,Evelyn,Yarzebinski,40662162300,Amy,Ogan,22433477900,Jessica,Hammer,56597500700,Kenneth R.,Koedinger,6603678234,,,,,,,,,,,,,,,,,,,,,,Georgia Institute of Technology,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,,,,,,,,,,,,,,
18,Alan J.,Dix,"Challenge and Potential of Fine Grain, Cross-Institutional Learning Data",2016,WIP,Work in Progress,Alan J. Dix,https://dl.acm.org/doi/pdf/10.1145/2876034.2893429,"2016_Challenge and Potential of Fine Grain, Cross-Institutional Learning Data.pdf",10.1145/2876034.2893429,2876034.2893429.pdf,7005324365,"Challenge and potential of fine grain, cross-institutional learning data",L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,261,264,3.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969939857&doi=10.1145%2f2876034.2893429&partnerID=40&md5=f1b61093fd83f6eec8675b8450f3d09d,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84969939857,Alan,Dix,7005324365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swansea University,United Kingdom,,,,,,,,,,,,,,,,,,,,,,
19,Boris,Roussev,Course Builder Skill Maps,2016,WIP,Work in Progress,"Boris Roussev, Pavel Simakov, John Orr, Amit Deutsch, John Cox, Michael Lenaghan, Mike Gainer",https://dl.acm.org/doi/pdf/10.1145/2876034.2893374,2016_Course Builder Skill Maps.pdf,10.1145/2876034.2893374,2876034.2893374.pdf,13605625900; 56597906500; 7201561933; 55790398700; 56597347800; 56069542600; 57189383221,Course Builder skill maps,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,89,92,3.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969921064&doi=10.1145%2f2876034.2893374&partnerID=40&md5=fa46c410a7ac440a2842bc0ec0930893,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84969921064,Boris,Roussev,13605625900,Pavel,Simakov,56597906500,John,Orr,7201561933,Amit,Deutsch,55790398700,John,Cox,56597347800,Michael,Lenaghan,56069542600,Mike,Gainer,57189383221,,,,,,,,,,,,,,,,Google LLC,United States,Google LLC,United States,Toll House,United Kingdom,Google LLC,United States,Google LLC,United States,Google LLC,United States,Google LLC,United States,,,,,,,,,,
20,Steven,Tang,Deep Neural Networks and How They Apply to Sequential Education Data,2016,WIP,Work in Progress,"Steven Tang, Joshua C. Peterson, Zachary A. Pardos",https://dl.acm.org/doi/pdf/10.1145/2876034.2893444,2016_Deep Neural Networks and How They Apply to Sequential Education Data.pdf,10.1145/2876034.2893444,2876034.2893444.pdf,56145020700; 56988397200; 23091281300,Deep neural networks and how they apply to sequential education data,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,321,324,3.0,37.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969983784&doi=10.1145%2f2876034.2893444&partnerID=40&md5=ef246cbd572c6550a1efbf6cba826f49,Conference paper,Final,,Scopus,2-s2.0-84969983784,Steven,Tang,56145020700,Joshua C.,Peterson,56988397200,Zachary A.,Pardos,23091281300,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",United States,Princeton University,United States,"University of California, Berkeley",United States,,,,,,,,,,,,,,,,,,
21,Chaohua,Ou,Designing Videos with Pedagogical Strategies: Online Students' Perceptions of Their Effectiveness,2016,WIP,Work in Progress,"Chaohua Ou, Ashok K. Goel, David A. Joyner, Daniel F. Haynes",https://dl.acm.org/doi/pdf/10.1145/2876034.2893391,2016_Designing Videos with Pedagogical Strategies: Online Students' Perceptions of Their Effectiveness.pdf,10.1145/2876034.2893391,2876034.2893391.pdf,57189380264; 7201830074; 35183234600; 57189376327,Designing videos with pedagogical strategies: Online students' perceptions of their effectiveness,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,141,144,3.0,12.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969915327&doi=10.1145%2f2876034.2893391&partnerID=40&md5=638006276e44006227aba866559de5c6,Conference paper,Final,,Scopus,2-s2.0-84969915327,Chaohua,Ou,57189380264,Ashok K.,Goel,7201830074,David A.,Joyner,35183234600,Daniel F.,Haynes,57189376327,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Institute of Technology,United States,Georgia Institute of Technology,United States,Georgia Institute of Technology,United States,Georgia Institute of Technology,United States,,,,,,,,,,,,,,,,
